,MLP_Tran_loss,ANN_Tran_loss,Dual Q-Net_Tran_loss,MLP_Train_AAR,ANN_Train_AAR,Dual Q-Net_Train_AAR,MLP_Train_PAR,ANN_Train_PAR,Dual Q-Net_Train_PAR,MLP_Val_loss,ANN_Val_loss,Dual Q-Net_Val_loss,MLP_Val_AAR,ANN_Val_AAR,Dual Q-Net_Val_AAR,MLP_Val_PAR,ANN_Val_PAR,Dual Q-Net_Val_PAR
89,0.007,0.01,0.005,0.992,0.991,0.995,0.962,0.954,0.973,0.011,0.015,0.005,0.986,0.984,0.992,0.93,0.92,0.96
90,0.007,0.01,0.004,0.992,0.99,0.995,0.962,0.952,0.975,0.01,0.015,0.006,0.984,0.982,0.99,0.92,0.92,0.95
91,0.007,0.01,0.004,0.992,0.99,0.995,0.961,0.952,0.977,0.01,0.015,0.005,0.986,0.984,0.994,0.93,0.92,0.97
92,0.007,0.01,0.004,0.992,0.991,0.994,0.962,0.955,0.972,0.011,0.015,0.006,0.986,0.986,0.99,0.93,0.93,0.96
93,0.007,0.01,0.004,0.992,0.991,0.995,0.962,0.957,0.977,0.01,0.015,0.005,0.984,0.984,0.992,0.92,0.92,0.96
94,0.007,0.01,0.004,0.992,0.991,0.995,0.962,0.955,0.974,0.01,0.015,0.006,0.984,0.986,0.988,0.92,0.93,0.95
95,0.007,0.01,0.005,0.992,0.99,0.995,0.962,0.952,0.974,0.01,0.015,0.007,0.986,0.982,0.992,0.93,0.92,0.96
96,0.007,0.01,0.004,0.992,0.991,0.995,0.961,0.955,0.977,0.01,0.015,0.006,0.986,0.982,0.992,0.93,0.92,0.96
97,0.007,0.01,0.004,0.992,0.991,0.995,0.962,0.957,0.973,0.01,0.015,0.007,0.988,0.986,0.99,0.94,0.93,0.96
98,0.007,0.01,0.004,0.992,0.991,0.995,0.962,0.955,0.974,0.01,0.015,0.007,0.988,0.982,0.992,0.94,0.92,0.96
99,0.007,0.01,0.004,0.992,0.991,0.995,0.962,0.957,0.975,0.01,0.015,0.006,0.986,0.986,0.99,0.93,0.93,0.96
